# 2023-01-31 00:44:08.782709
LOCATION	TRANSLITERATE	TRANSLATE
(4,7,2)	نَصِيبٌ	bagian
(4,7,3)	مِّمَّا	dari apa (harta)
(4,7,4)	تَرَكَ	meninggalkan/peninggalan
(4,7,5)	ٱلْوَٰلِدَانِ	kedua orang tua
(4,7,6)	وَٱلْأَقْرَبُونَ	dan kerabat mereka
(4,7,7)	وَلِلنِّسَآءِ	dan bagi orang wanita
(4,7,8)	نَصِيبٌ	bagian
(4,7,9)	مِّمَّا	dari apa (harta)
(4,7,10)	تَرَكَ	meninggalkan/peninggalan
(4,7,11)	ٱلْوَٰلِدَانِ	kedua orang tua
(4,7,12)	وَٱلْأَقْرَبُونَ	dan kerabat mereka
(4,7,13)	مِمَّا	dari apa (peninggalan)
(4,7,14)	قَلَّ	sedikit
(4,7,15)	مِنْهُ	dari padanya
(4,7,16)	أَوْ	atau
(4,7,17)	كَثُرَۚ	banyak
(4,7,18)	نَصِيبًا	bagian
(4,7,19)	مَّفْرُوضًا	yang telah ditetapkan
(4,8,1)	وَإِذَا	dan apabila
(4,8,2)	حَضَرَ	hadir
(4,8,3)	ٱلْقِسْمَةَ	pembagian itu
(4,8,4)	أُو۟لُوا۟	kelompok
(4,8,5)	ٱلْقُرْبَىٰ	kerabat
(4,8,6)	وَٱلْيَتَٰمَىٰ	dan anak-anak yatim
(4,8,7)	وَٱلْمَسَٰكِينُ	dan orang-orang miskin
(4,8,8)	فَٱرْزُقُوهُم	maka berilah mereka rezki
(4,8,9)	مِّنْهُ	dari padanya/harta
(4,8,10)	وَقُولُوا۟	dan katakanlah
(4,8,11)	لَهُمْ	kepada mereka
(4,8,12)	قَوْلًا	perkataan
(4,8,13)	مَّعْرُوفًا	yang baik/patut
(4,9,1)	وَلْيَخْشَ	dan hendaklah takut
(4,9,2)	ٱلَّذِينَ	orang-orang yang
(4,9,3)	لَوْ	ke dalam
(4,9,4)	تَرَكُوا۟	perut mereka
(4,9,5)	مِنْ	dari
(4,9,6)	خَلْفِهِمْ	belakang mereka
(4,9,7)	ذُرِّيَّةً	keturunan/anak-anak
(4,9,8)	ضِعَٰفًا	lemah
(4,9,9)	خَافُوا۟	mereka khawatir
(4,9,10)	عَلَيْهِمْ	atas mereka
(4,9,11)	فَلْيَتَّقُوا۟	maka bertakwalah
(4,9,12)	ٱللَّهَ	Allah
(4,9,13)	وَلْيَقُولُوا۟	dan hendaklah mereka mengatakan
(4,9,14)	قَوْلًا	perkataan
(4,9,15)	سَدِيدًا	yang benar
(4,10,1)	إِنَّ	sesungguhnya
(4,10,2)	ٱلَّذِينَ	orang-orang yang
(4,10,3)	يَأْكُلُونَ	(mereka) memakan
(4,10,4)	أَمْوَٰلَ	harta
(4,10,5)	ٱلْيَتَٰمَىٰ	anak yatim
(4,10,6)	ظُلْمًا	(secara) zalim
(4,10,7)	إِنَّمَا	sesungguhnya/hanyalah
(4,10,8)	يَأْكُلُونَ	mereka memakan/menelan
(4,10,9)	فِى	seandainya
(4,10,10)	بُطُونِهِمْ	mereka meninggalkan
(4,10,11)	نَارًاۖ	api
(4,10,12)	وَسَيَصْلَوْنَ	dan mereka akan masuk
(4,10,13)	سَعِيرًا	neraka yang menyala-nyala
(4,11,1)	يُوصِيكُمُ	mewasiatkan kepadamu
(4,11,2)	ٱللَّهُ	Allah
(4,11,3)	فِىٓ	dalam/untuk
(4,11,4)	أَوْلَٰدِكُمْۖ	anak-anakmu
(4,11,5)	لِلذَّكَرِ	bagi (anak) lelaki
(4,11,6)	مِثْلُ	seperti
(4,11,7)	حَظِّ	bagian
(4,11,8)	ٱلْأُنثَيَيْنِۚ	dua anak perempuan
(4,11,9)	فَإِن	maka jika
(4,11,10)	كُنَّ	adalah mereka
(4,11,11)	نِسَآءً	perempuan
(4,11,12)	فَوْقَ	di atas
(4,11,13)	ٱثْنَتَيْنِ	dua orang perempuan
(4,11,14)	فَلَهُنَّ	maka bagi mereka
(4,11,15)	ثُلُثَا	dua pertiga
(4,11,16)	مَا	apa
(4,11,17)	تَرَكَۖ	ditingalkan
(4,11,18)	وَإِن	dan jika
(4,11,19)	كَانَتْ	adalah ia
(4,11,20)	وَٰحِدَةً	seorang
(4,11,21)	فَلَهَا	maka baginya
(4,11,22)	ٱلنِّصْفُۚ	separuh
(4,11,23)	وَلِأَبَوَيْهِ	dan untuk dua ibu-bapaknya
(4,11,24)	لِكُلِّ	bagi masing-masing
(4,11,25)	وَٰحِدٍ	seorang
(4,11,26)	مِّنْهُمَا	dari keduanya
(4,11,27)	ٱلسُّدُسُ	seperenam
(4,11,28)	مِمَّا	dari apa/harta
(4,11,29)	تَرَكَ	ia tinggalkan
(4,11,30)	إِن	jika
(4,11,31)	كَانَ	ia adalah
(4,11,32)	لَهُۥ	baginya
(4,11,33)	وَلَدٌۚ	anak laki-laki
(4,11,34)	فَإِن	maka jika
(4,11,35)	لَّمْ	tidak
(4,11,36)	يَكُن	adalah
(4,11,37)	لَّهُۥ	baginya
(4,11,38)	وَلَدٌ	anak laki-laki
(4,11,39)	وَوَرِثَهُۥٓ	dan mewarisinya
(4,11,40)	أَبَوَاهُ	ibu-bapaknya
(4,11,41)	فَلِأُمِّهِ	maka bagi ibunya
(4,11,42)	ٱلثُّلُثُۚ	sepertiga
(4,11,43)	فَإِن	maka jika
(4,11,44)	كَانَ	ia adalah
(4,11,45)	لَهُۥٓ	baginya
(4,11,46)	إِخْوَةٌ	saudara-saudara
(4,11,47)	فَلِأُمِّهِ	maka bagi ibunya
(4,11,48)	ٱلسُّدُسُۚ	seperenam
(4,11,49)	مِنۢ	dari
(4,11,50)	بَعْدِ	sesudah
(4,11,51)	وَصِيَّةٍ	berwasiat
(4,11,52)	يُوصِى	ia wasiatkan
(4,11,53)	بِهَآ	baginya
(4,11,54)	أَوْ	atau
(4,11,55)	دَيْنٍۗ	(dibayar) hutang
(4,11,56)	ءَابَآؤُكُمْ	ibu-bapakmu/orang tuamu
(4,11,57)	وَأَبْنَآؤُكُمْ	dan anak-anakmu
(4,11,58)	لَا	tidak
(4,11,59)	تَدْرُونَ	kamu mengetahui
(4,11,60)	أَيُّهُمْ	siapa diantara mereka
(4,11,61)	أَقْرَبُ	lebih dekat
(4,11,62)	لَكُمْ	bagi kalian
(4,11,63)	نَفْعًاۚ	manfaatnya
(4,11,64)	فَرِيضَةً	ketetapan
(4,11,65)	مِّنَ	dari
(4,11,66)	ٱللَّهِۗ	Allah
(4,11,67)	إِنَّ	sesungguhnya
(4,11,68)	ٱللَّهَ	Allah
(4,11,69)	كَانَ	adalah Dia
(4,11,70)	عَلِيمًا	Maha Mengetahui
(4,11,71)	حَكِيمًا	Maha Bijaksana
(4,12,1)	وَلَكُمْ	dan bagi kamu
(4,12,2)	نِصْفُ	separuh
(4,12,3)	مَا	apa/harta
(4,12,4)	تَرَكَ	yang meninggalkan
(4,12,5)	أَزْوَٰجُكُمْ	isteri-isterimu
(4,12,6)	إِن	jika
(4,12,7)	لَّمْ	tidak
(4,12,8)	يَكُن	ada
(4,12,9)	لَّهُنَّ	bagi mereka
(4,12,10)	وَلَدٌۚ	anak laki-laki
(4,12,11)	فَإِن	maka jika
(4,12,12)	كَانَ	ada
(4,12,13)	لَهُنَّ	bagi mereka
(4,12,14)	وَلَدٌ	anak laki-laki
(4,12,15)	فَلَكُمُ	maka bagimu
(4,12,16)	ٱلرُّبُعُ	seperempat
(4,12,17)	مِمَّا	dari apa/harta
(4,12,18)	تَرَكْنَۚ	mereka tinggalkan
(4,12,19)	مِنۢ	dari
(4,12,20)	بَعْدِ	sesudahnya
(4,12,21)	وَصِيَّةٍ	(dipenuhi) wasiat
(4,12,22)	يُوصِينَ	mereka berwasiat
(4,12,23)	بِهَآ	dengannya
(4,12,24)	أَوْ	atau
(4,12,25)	دَيْنٍۚ	hutang
(4,12,26)	وَلَهُنَّ	dan bagi mereka
(4,12,27)	ٱلرُّبُعُ	seperempat
(4,12,28)	مِمَّا	dari apa (harta)
(4,12,29)	تَرَكْتُمْ	kamu tinggalkan
(4,12,30)	إِن	jika
(4,12,31)	لَّمْ	tidak
(4,12,32)	يَكُن	ada
(4,12,33)	لَّكُمْ	bagi kalian
(4,12,34)	وَلَدٌۚ	anak laki-laki
(4,12,35)	فَإِن	maka jika
(4,12,36)	كَانَ	ada
(4,12,37)	لَكُمْ	bagi kalian
(4,12,38)	وَلَدٌ	anak laki-laki
(4,12,39)	فَلَهُنَّ	maka bagi mereka
(4,12,40)	ٱلثُّمُنُ	seperdelapan
(4,12,41)	مِمَّا	dari apa/harta
(4,12,42)	تَرَكْتُمۚ	kamu tinggalkan
(4,12,43)	مِّنۢ	dari
(4,12,44)	بَعْدِ	sesudah
(4,12,45)	وَصِيَّةٍ	(dipenuhi) wasiat
(4,12,46)	تُوصُونَ	kamu buat wasiat
(4,12,47)	بِهَآ	dengannya
(4,12,48)	أَوْ	atau
(4,12,49)	دَيْنٍۗ	hutang
(4,12,50)	وَإِن	dan jika
(4,12,51)	كَانَ	ada
(4,12,52)	رَجُلٌ	seorang laki-laki
(4,12,53)	يُورَثُ	diwariskan
(4,12,54)	كَلَٰلَةً	tidak punya ibu-bapak dan anak
(4,12,55)	أَوِ	atau
(4,12,56)	ٱمْرَأَةٌ	perempuan
(4,12,57)	وَلَهُۥٓ	dan baginya
(4,12,58)	أَخٌ	saudara laki-laki
(4,12,59)	أَوْ	atau
(4,12,60)	أُخْتٌ	saudara perempuan
(4,12,61)	فَلِكُلِّ	maka bagi tiap-tiap
(4,12,62)	وَٰحِدٍ	seorang
(4,12,63)	مِّنْهُمَا	dari keduanya
(4,12,64)	ٱلسُّدُسُۚ	seperenam
(4,12,65)	فَإِن	maka jika
(4,12,66)	كَانُوٓا۟	adalah mereka
(4,12,67)	أَكْثَرَ	lebih banyak
(4,12,68)	مِن	dari
(4,12,69)	ذَٰلِكَ	demikian itu
(4,12,70)	فَهُمْ	maka bagi mereka
(4,12,71)	شُرَكَآءُ	bersekutu
(4,12,72)	فِى	dalam
(4,12,73)	ٱلثُّلُثِۚ	dalam sepertiga
(4,12,74)	مِنۢ	dari
(4,12,75)	بَعْدِ	sesudah
(4,12,76)	وَصِيَّةٍ	(dipenuhi) wasiat
(4,12,77)	يُوصَىٰ	diwasiatkan
(4,12,78)	بِهَآ	dengannya
(4,12,79)	أَوْ	atau
(4,12,80)	دَيْنٍ	hutang
(4,12,81)	غَيْرَ	tidak
(4,12,82)	مُضَآرٍّۚ	memudlaratkan
(4,12,83)	وَصِيَّةً	wasiat/ketetapan
(4,12,84)	مِّنَ	dari
(4,12,85)	ٱللَّهِۗ	Allah
(4,12,86)	وَٱللَّهُ	dan Allah
(4,12,87)	عَلِيمٌ	Maha Mengetahui
(4,12,88)	حَلِيمٌ	Maha Penyantun
(4,13,1)	تِلْكَ	itulah
(4,13,2)	حُدُودُ	ketentuan-ketentuan
(4,13,3)	ٱللَّهِۚ	Allah
(4,13,4)	وَمَن	dan barang siapa
(4,13,5)	يُطِعِ	mentaati
(4,13,6)	ٱللَّهَ	Allah
(4,13,7)	وَرَسُولَهُۥ	dan RasulNya
(4,13,8)	يُدْخِلْهُ	Dia akan memasukkannya
(4,13,9)	جَنَّٰتٍ	surga
(4,13,10)	تَجْرِى	mengalir
(4,13,11)	مِن	dari
(4,13,12)	تَحْتِهَا	bawahnya
(4,13,13)	ٱلْأَنْهَٰرُ	sungai-sungai
(4,13,14)	خَٰلِدِينَ	mereka kekal
(4,13,15)	فِيهَاۚ	di dalamnya
(4,13,16)	وَذَٰلِكَ	dan demikianitu
(4,13,17)	ٱلْفَوْزُ	keuntungan
(4,13,18)	ٱلْعَظِيمُ	yang  besar
(4,14,1)	وَمَن	dan barang siapa
(4,14,2)	يَعْصِ	mendurhakai
(4,14,3)	ٱللَّهَ	Allah
(4,14,4)	وَرَسُولَهُۥ	dan RasulNya
(4,14,5)	وَيَتَعَدَّ	dan ia melanggar
(4,14,6)	حُدُودَهُۥ	ketentuan-ketentuanNya
(4,14,7)	يُدْخِلْهُ	Dia/Allah memasukkannya
(4,14,8)	نَارًا	neraka/api
(4,14,9)	خَٰلِدًا	kekal
(4,14,10)	فِيهَا	di dalamnya
(4,14,11)	وَلَهُۥ	dan baginya
(4,14,12)	عَذَابٌ	siksa
(4,14,13)	مُّهِينٌ	menghinakan
(4,15,1)	وَٱلَّٰتِى	dan wanita-wanita yang
(4,15,2)	يَأْتِينَ	(mereka) mendatangkan/melakukan
(4,15,3)	ٱلْفَٰحِشَةَ	perbuatan keji
(4,15,4)	مِن	dari/diantara
(4,15,5)	نِّسَآئِكُمْ	isteri-isterimu
(4,15,6)	فَٱسْتَشْهِدُوا۟	maka datangkanlah saksi-saksi
(4,15,7)	عَلَيْهِنَّ	atas mereka
(4,15,8)	أَرْبَعَةً	empat (orang)
(4,15,9)	مِّنكُمْۖ	diantara kamu
(4,15,10)	فَإِن	maka jika
(4,15,11)	شَهِدُوا۟	mereka memberikan kesaksian
(4,15,12)	فَأَمْسِكُوهُنَّ	maka kurunglah mereka
(4,15,13)	فِى	dalam
(4,15,14)	ٱلْبُيُوتِ	rumah
(4,15,15)	حَتَّىٰ	sehingga/sampai
(4,15,16)	يَتَوَفَّىٰهُنَّ	mewafatkan mereka
(4,15,17)	ٱلْمَوْتُ	mati/kematian
(4,15,18)	أَوْ	atau
(4,15,19)	يَجْعَلَ	memberikan/menyediakan
(4,15,20)	ٱللَّهُ	Allah
(4,15,21)	لَهُنَّ	bagi/kepada mereka
(4,15,22)	سَبِيلًا	jalan
(4,16,1)	وَٱلَّذَانِ	dan dua orang yang
(4,16,2)	يَأْتِيَٰنِهَا	melakukannya/perbuatan keji
(4,16,3)	مِنكُمْ	diantara kamu
(4,16,4)	فَـَٔاذُوهُمَاۖ	maka berilah hukuman keduanya
(4,16,5)	فَإِن	maka jika
(4,16,6)	تَابَا	keduanya bertaubat
(4,16,7)	وَأَصْلَحَا	dan memperbaiki diri
(4,16,8)	فَأَعْرِضُوا۟	maka berpaling/biarkanlah
(4,16,9)	عَنْهُمَآۗ	dari keduanya
(4,16,10)	إِنَّ	sesungguhnya
(4,16,11)	ٱللَّهَ	Allah
(4,16,12)	كَانَ	adalah Dia
(4,16,13)	تَوَّابًا	Maha Penerima taubat
(4,16,14)	رَّحِيمًا	Maha Penyayang
(4,17,1)	إِنَّمَا	sesungguhnya hanyalah
(4,17,2)	ٱلتَّوْبَةُ	taubat itu
(4,17,3)	عَلَى	atas/di sisi
(4,17,4)	ٱللَّهِ	Allah
(4,17,5)	لِلَّذِينَ	bagi orang-orang yang
(4,17,6)	يَعْمَلُونَ	(mereka) mengajarkan
(4,17,7)	ٱلسُّوٓءَ	kejahatan
(4,17,8)	بِجَهَٰلَةٍ	dengan kejahilan/kebodohan
(4,17,9)	ثُمَّ	kemudian
(4,17,10)	يَتُوبُونَ	mereka bertaubat
(4,17,11)	مِن	dari
(4,17,12)	قَرِيبٍ	dekat/dengan segera
(4,17,13)	فَأُو۟لَٰٓئِكَ	maka mereka itu
(4,17,14)	يَتُوبُ	menerima taubat
(4,17,15)	ٱللَّهُ	Allah
(4,17,16)	عَلَيْهِمْۗ	atas mereka
(4,17,17)	وَكَانَ	dan adalah
(4,17,18)	ٱللَّهُ	Allah
(4,17,19)	عَلِيمًا	Maha Mengetahui
(4,17,20)	حَكِيمًا	Maha Bijaksana
(4,18,1)	وَلَيْسَتِ	dan tidaklah
(4,18,2)	ٱلتَّوْبَةُ	taubat itu
(4,18,3)	لِلَّذِينَ	bagi orang-orang yang
(4,18,4)	يَعْمَلُونَ	(mereka) melakukan
(4,18,5)	ٱلسَّيِّـَٔاتِ	kejahatan
(4,18,6)	حَتَّىٰٓ	sehingga
(4,18,7)	إِذَا	apabila
(4,18,8)	حَضَرَ	datang
(4,18,9)	أَحَدَهُمُ	salah seorang diantara mereka
(4,18,10)	ٱلْمَوْتُ	kematian
(4,18,11)	قَالَ	ia mengatakan
(4,18,12)	إِنِّى	sesungguhnya saya
(4,18,13)	تُبْتُ	saya bertaubat
(4,18,14)	ٱلْـَٰٔنَ	sekarang
(4,18,15)	وَلَا	dan tidaklah
(4,18,16)	ٱلَّذِينَ	orang-orang yang
(4,18,17)	يَمُوتُونَ	(mereka) mati
(4,18,18)	وَهُمْ	dan/sedang mereka
(4,18,19)	كُفَّارٌۚ	kekafiran
(4,18,20)	أُو۟لَٰٓئِكَ	mereka itulah
(4,18,21)	أَعْتَدْنَا	Kami sediakan
(4,18,22)	لَهُمْ	bagi mereka
(4,18,23)	عَذَابًا	siksa
(4,18,24)	أَلِيمًا	yang pedih
(4,19,1)	يَٰٓأَيُّهَا	wahai
(4,19,2)	ٱلَّذِينَ	orang-orang yang
(4,19,3)	ءَامَنُوا۟	beriman
(4,19,4)	لَا	tidak
(4,19,5)	يَحِلُّ	halal
(4,19,6)	لَكُمْ	bagi kalian
(4,19,7)	أَن	bahwa
(4,19,8)	تَرِثُوا۟	kamu mempusakai
(4,19,9)	ٱلنِّسَآءَ	wanita-wanita
(4,19,10)	كَرْهًاۖ	dengan paksa
(4,19,11)	وَلَا	dan jangan
(4,19,12)	تَعْضُلُوهُنَّ	kamu menyusahkan mereka
(4,19,13)	لِتَذْهَبُوا۟	untuk melenyapkan/mengambil kembali
(4,19,14)	بِبَعْضِ	sebagian
(4,19,15)	مَآ	apa
(4,19,16)	ءَاتَيْتُمُوهُنَّ	kamu telah memberikan mereka
(4,19,17)	إِلَّآ	kecuali
(4,19,18)	أَن	bahwa
(4,19,19)	يَأْتِينَ	mereka melakukan
(4,19,20)	بِفَٰحِشَةٍ	dengan perbuatan keji
(4,19,21)	مُّبَيِّنَةٍۚ	yang nyata
(4,19,22)	وَعَاشِرُوهُنَّ	dan pergauillah mereka
(4,19,23)	بِٱلْمَعْرُوفِۚ	dengan cara yang patut
(4,19,24)	فَإِن	maka jika
(4,19,25)	كَرِهْتُمُوهُنَّ	kamu membenci mereka
(4,19,26)	فَعَسَىٰٓ	maka mungkin/barangkali
(4,19,27)	أَن	bahwa
(4,19,28)	تَكْرَهُوا۟	kamu tidak menyukai
(4,19,29)	شَيْـًٔا	sesuatu
(4,19,30)	وَيَجْعَلَ	dan/padahal menjadikan
(4,19,31)	ٱللَّهُ	Allah
(4,19,32)	فِيهِ	padanya
(4,19,33)	خَيْرًا	kebaikan
(4,19,34)	كَثِيرًا	yang banyak
(4,20,1)	وَإِنْ	dan jika
(4,20,2)	أَرَدتُّمُ	kamu ingin
(4,20,3)	ٱسْتِبْدَالَ	mengganti
(4,20,4)	زَوْجٍ	isteri
(4,20,5)	مَّكَانَ	tempat
(4,20,6)	زَوْجٍ	isteri (yang lain)
(4,20,7)	وَءَاتَيْتُمْ	dan kamu telah memberi
(4,20,8)	إِحْدَىٰهُنَّ	seorang diantara mereka
(4,20,9)	قِنطَارًا	harta yang banyak
(4,20,10)	فَلَا	maka jangan
(4,20,11)	تَأْخُذُوا۟	kamu mengambil
(4,20,12)	مِنْهُ	daripadanya
(4,20,13)	شَيْـًٔاۚ	akan sesuatu/sedikitpun
(4,20,14)	أَتَأْخُذُونَهُۥ	apakah kamu mengambil kembali (milik)nya
(4,20,15)	بُهْتَٰنًا	dengan cara dusta
(4,20,16)	وَإِثْمًا	dan dosa
(4,20,17)	مُّبِينًا	yang nyata
(4,21,1)	وَكَيْفَ	dan bagaimana
(4,21,2)	تَأْخُذُونَهُۥ	kamu mengambilnya kembali
(4,21,3)	وَقَدْ	dan sungguh
(4,21,4)	أَفْضَىٰ	telah bergaul
(4,21,5)	بَعْضُكُمْ	sebagian kamu
(4,21,6)	إِلَىٰ	kepada
(4,21,7)	بَعْضٍ	sebagian yang lain
(4,21,8)	وَأَخَذْنَ	dan mereka telah mengambil
(4,21,9)	مِنكُم	dari kamu
(4,21,10)	مِّيثَٰقًا	janji
(4,21,11)	غَلِيظًا	teguh/kuat
(4,22,1)	وَلَا	dan janganlah
(4,22,2)	تَنكِحُوا۟	kamu kawini
(4,22,3)	مَا	apa
(4,22,4)	نَكَحَ	telah mengawini
(4,22,5)	ءَابَآؤُكُم	bapak-bapakmu
(4,22,6)	مِّنَ	dari
(4,22,7)	ٱلنِّسَآءِ	wanita-wanita
(4,22,8)	إِلَّا	kecuali
(4,22,9)	مَا	apa/masa
(4,22,10)	قَدْ	sungguh
(4,22,11)	سَلَفَۚ	telah berlalu
(4,22,12)	إِنَّهُۥ	sesungguhnya itu
(4,22,13)	كَانَ	adalah itu
(4,22,14)	فَٰحِشَةً	perbuatan keji
(4,22,15)	وَمَقْتًا	dan dibenci
(4,22,16)	وَسَآءَ	dan seburuk-buruk
(4,22,17)	سَبِيلًا	jalan
(4,23,1)	حُرِّمَتْ	diharamkan
(4,23,2)	عَلَيْكُمْ	atas kalian
(4,23,3)	أُمَّهَٰتُكُمْ	ibu-ibumu
(4,23,4)	وَبَنَاتُكُمْ	dan anak-anak perempuanmu
(4,23,5)	وَأَخَوَٰتُكُمْ	dan saudara-saudara perempuanmu
(4,23,6)	وَعَمَّٰتُكُمْ	dan saudara-saudara perempuan bapakmu
(4,23,7)	وَخَٰلَٰتُكُمْ	dan saudara-saudara perempuan ibumu
(4,23,8)	وَبَنَاتُ	dan anak-anak perempuan
(4,23,9)	ٱلْأَخِ	saudaramu laki-laki
(4,23,10)	وَبَنَاتُ	dan anak-anak perempuan
(4,23,11)	ٱلْأُخْتِ	saudaramu perempuan
(4,23,12)	وَأُمَّهَٰتُكُمُ	dan ibu-ibumu
(4,23,13)	ٱلَّٰتِىٓ	yang
(4,23,14)	أَرْضَعْنَكُمْ	menyusui kamu
(4,23,15)	وَأَخَوَٰتُكُم	dan saudara-saudara perempuanmu
(4,23,16)	مِّنَ	dari
(4,23,17)	ٱلرَّضَٰعَةِ	sepersusuan
(4,23,18)	وَأُمَّهَٰتُ	dan ibu-ibu
(4,23,19)	نِسَآئِكُمْ	isterimu
(4,23,20)	وَرَبَٰٓئِبُكُمُ	dan anak-anak isterimu
(4,23,21)	ٱلَّٰتِى	yang
(4,23,22)	فِى	dalam
(4,23,23)	حُجُورِكُم	pemeliharaanmu
(4,23,24)	مِّن	dari
(4,23,25)	نِّسَآئِكُمُ	isteri-isteri kamu
(4,23,26)	ٱلَّٰتِى	yang
(4,23,27)	دَخَلْتُم	kamu masuki/campuri
(4,23,28)	بِهِنَّ	dengan mereka
(4,23,29)	فَإِن	maka jika
(4,23,30)	لَّمْ	tidak
(4,23,31)	تَكُونُوا۟	kalian menjadi
(4,23,32)	دَخَلْتُم	kamu masuki/campuri
(4,23,33)	بِهِنَّ	dengan mereka
(4,23,34)	فَلَا	maka tidak
(4,23,35)	جُنَاحَ	berdosa
(4,23,36)	عَلَيْكُمْ	atas kalian
(4,23,37)	وَحَلَٰٓئِلُ	dan isteri-isteri
(4,23,38)	أَبْنَآئِكُمُ	anak-anakmu
(4,23,39)	ٱلَّذِينَ	orang-orang yang
(4,23,40)	مِنْ	dari
(4,23,41)	أَصْلَٰبِكُمْ	tulang rusukmu/anak kandungmu
(4,23,42)	وَأَن	dan bahwa
(4,23,43)	تَجْمَعُوا۟	kamu menghimpun
(4,23,44)	بَيْنَ	antara
(4,23,45)	ٱلْأُخْتَيْنِ	dua perempuan bersaudara
(4,23,46)	إِلَّا	kecuali
(4,23,47)	مَا	apa
(4,23,48)	قَدْ	sungguh
(4,23,49)	سَلَفَۗ	yang lalu/lampau
(4,23,50)	إِنَّ	sesungguhnya
(4,23,51)	ٱللَّهَ	Allah
(4,23,52)	كَانَ	adalah Dia
(4,23,53)	غَفُورًا	Maha Pengampun
(4,23,54)	رَّحِيمًا	Maha Penyayang
(4,24,1)	وَٱلْمُحْصَنَٰتُ	dan wanita yang bersuami
(4,24,2)	مِنَ	dari
(4,24,3)	ٱلنِّسَآءِ	manusia
(4,24,4)	إِلَّا	kecuali
(4,24,5)	مَا	apa
(4,24,6)	مَلَكَتْ	kamu miliki
(4,24,7)	أَيْمَٰنُكُمْۖ	tangan kananmu/budak-budakmu
(4,24,8)	كِتَٰبَ	ketetapan
(4,24,9)	ٱللَّهِ	Allah
(4,24,10)	عَلَيْكُمْۚ	atas kalian
(4,24,11)	وَأُحِلَّ	dan dihalalkan
(4,24,12)	لَكُم	bagi kalian
(4,24,13)	مَّا	apa
(4,24,14)	وَرَآءَ	dibelakang (selain)
(4,24,15)	ذَٰلِكُمْ	demikian itu
(4,24,16)	أَن	bahwa
(4,24,17)	تَبْتَغُوا۟	kamu mencari
(4,24,18)	بِأَمْوَٰلِكُم	dengan hartamu
(4,24,19)	مُّحْصِنِينَ	untuk dikawini
(4,24,20)	غَيْرَ	tidak/bukan
(4,24,21)	مُسَٰفِحِينَۚ	untuk berzina
(4,24,22)	فَمَا	maka apa
(4,24,23)	ٱسْتَمْتَعْتُم	telah kamu nikmati
(4,24,24)	بِهِۦ	dengannya (wanita itu)
(4,24,25)	مِنْهُنَّ	dari/diantara mereka
(4,24,26)	فَـَٔاتُوهُنَّ	maka berikan kepada mereka
(4,24,27)	أُجُورَهُنَّ	mahar/maskawin
(4,24,28)	فَرِيضَةًۚ	suatu kewajiban
(4,24,29)	وَلَا	dan tidak
(4,24,30)	جُنَاحَ	berdosa
(4,24,31)	عَلَيْكُمْ	atas kalian
(4,24,32)	فِيمَا	terhadap apa (sesuatu)
(4,24,33)	تَرَٰضَيْتُم	kamu saling merelakan
(4,24,34)	بِهِۦ	dengannya (wanita itu)
(4,24,35)	مِنۢ	dari
(4,24,36)	بَعْدِ	sesudah
(4,24,37)	ٱلْفَرِيضَةِۚ	ditentukan
(4,24,38)	إِنَّ	sesungguhnya
(4,24,39)	ٱللَّهَ	Allah
(4,24,40)	كَانَ	adalah Dia
(4,24,41)	عَلِيمًا	Maha Mengetahui
(4,24,42)	حَكِيمًا	Maha Bijaksana
(4,25,1)	وَمَن	dan barang siapa
(4,25,2)	لَّمْ	tidak
(4,25,3)	يَسْتَطِعْ	cukup
(4,25,4)	مِنكُمْ	dari/di antara kamu
(4,25,5)	طَوْلًا	perbelanjaan/nafkah
(4,25,6)	أَن	sesungguhnya
(4,25,7)	يَنكِحَ	mengawini
(4,25,8)	ٱلْمُحْصَنَٰتِ	wanita-wanita merdeka
(4,25,9)	ٱلْمُؤْمِنَٰتِ	yang beriman
(4,25,10)	فَمِن	maka dari
(4,25,11)	مَّا	apa
(4,25,12)	مَلَكَتْ	memiliki
(4,25,13)	أَيْمَٰنُكُم	tangan kananmu/budakmu
(4,25,14)	مِّن	dari
(4,25,15)	فَتَيَٰتِكُمُ	pemudi-pemudimu/wanitamu
(4,25,16)	ٱلْمُؤْمِنَٰتِۚ	yang beriman
(4,25,17)	وَٱللَّهُ	dan Allah
(4,25,18)	أَعْلَمُ	lebih mengetahui
(4,25,19)	بِإِيمَٰنِكُمۚ	dengan keimananmu
(4,25,20)	بَعْضُكُم	sebagian kamu
(4,25,21)	مِّنۢ	dari
(4,25,22)	بَعْضٍۚ	sebagian lain
(4,25,23)	فَٱنكِحُوهُنَّ	maka nikahilah mereka
(4,25,24)	بِإِذْنِ	dengan seizin
(4,25,25)	أَهْلِهِنَّ	ahlinya/tuannya
(4,25,26)	وَءَاتُوهُنَّ	dan berilah mereka
(4,25,27)	أُجُورَهُنَّ	mahar mereka
(4,25,28)	بِٱلْمَعْرُوفِ	dengan/menurut yang patut
(4,25,29)	مُحْصَنَٰتٍ	wanita-wanita merdeka/yang memelihara diri
(4,25,30)	غَيْرَ	bukan/tidak
(4,25,31)	مُسَٰفِحَٰتٍ	wanita-wanita pezina
(4,25,32)	وَلَا	dan bukan
(4,25,33)	مُتَّخِذَٰتِ	wanita yang mengambil laki-laki lain
(4,25,34)	أَخْدَانٍۚ	gendak
